cust_id,age,gender,education,bal,purchases,oneoff_purchases,installments_purchases,purchases_trans,credit_limit,payments,min_payments,perc_full_payment,perc_entertainment_purchase,perc_apparels_purchase,perc_groceries_purchase,perc_restaurant_purchase,perc_utility_purchase,perc_telecom_purchase,perc_supermkt_purchase,perc_offline_purchase,perc_online_purchase
7897581567,29,Male,Graduate,470010.66,257000.00,49246.00,207754.00,40,450000.00,325995.83,562029.52,0,0.05,0.25,0.23,0.02,0.21,0.11,0.13,0.83,0.17
7783276944,31,Male,Under-Graduate,960107.13,23834.00,0.00,23834.00,5,1500000.00,119451.08,120625.72,0,0.14,0.36,0.09,0.05,0.11,0.08,0.17,0.38,0.62
7968223875,38,Male,Graduate,120788.82,134236.00,103796.00,30440.00,27,400000.00,28888.30,31202.63,0,0.08,0.16,0.24,0.18,0.03,0.11,0.2,0.86,0.14
7797517338,38,Male,Masters,8744.29,78632.00,18632.00,60000.00,7,750000.00,88128.46,9718.64,0.666667,0.18,0.06,0.24,0.09,0.07,0.11,0.25,0.7,0.3
7861757437,25,Male,Under-Graduate,12339.41,145068.00,0.00,145068.00,20,600000.00,158342.19,13782.62,0.454545,0.31,0.07,0.14,0.0,0.11,0.17,0.2,0.83,0.17
7863677763,39,Male,Under-Graduate,39505.30,123946.00,75228.00,48718.00,14,150000.00,40121.70,17776.68,0,0.37,0.14,0.17,0.14,0.06,0.03,0.09,0.45,0.55
7336685639,34,Female,Graduate,171545.93,9675.00,3465.00,6210.00,7,180000.00,45222.55,41161.25,0,0.29,0.04,0.16,0.1,0.0,0.17,0.24,0.58,0.42
7769329686,31,Male,Under-Graduate,149204.00,410615.00,268846.00,141769.00,50,1200000.00,967817.31,60689.92,0.5,0.17,0.24,0.01,0.05,0.06,0.2,0.27,0.41,0.59
7426838864,37,Male,Under-Graduate,63666.97,202238.00,189238.00,13000.00,19,600000.00,93930.68,30100.07,0,0.32,0.09,0.1,0.23,0.06,0.07,0.13,0.98,0.02
7166655586,31,Male,Masters,22377.25,365408.00,29141.00,336267.00,32,250000.00,330133.46,18033.84,0.333333,0.12,0.24,0.26,0.12,0.01,0.02,0.23,0.98,0.02
7355627986,28,Male,Masters,112260.34,88373.00,45762.00,42611.00,26,300000.00,63206.24,56841.07,0,0.33,0.15,0.14,0.17,0.07,0.01,0.13,0.16,0.84
7348167767,31,Male,Graduate,80513.11,79554.00,16740.00,62814.00,20,170000.00,180406.51,26125.81,0,0.23,0.07,0.25,0.06,0.12,0.12,0.15,0.57,0.43
7355637162,29,Male,Graduate,86900.14,0.00,0.00,0.00,0,120000.00,54110.18,28637.43,0,0.13,0.1,0.07,0.02,0.12,0.27,0.29,0.09,0.91
